Class,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall,F1_Score
Apple___Apple_scab,128,1,4,10728,0.9922480620155039,0.9696969696969697,0.9808429118773947
Apple___Black_rot,126,2,1,10732,0.984375,0.9921259842519685,0.988235294117647
Apple___Cedar_apple_rust,47,0,0,10814,1.0,1.0,1.0
Apple___healthy,327,2,7,10525,0.993920972644377,0.9790419161676647,0.9864253393665159
Blueberry___healthy,308,4,0,10549,0.9871794871794872,1.0,0.9935483870967742
Cherry_(including_sour)___Powdery_mildew,206,0,0,10655,1.0,1.0,1.0
Cherry_(including_sour)___healthy,174,3,2,10682,0.9830508474576272,0.9886363636363636,0.9858356940509915
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,100,6,10,10745,0.9433962264150944,0.9090909090909091,0.9259259259259259
Corn_(maize)___Common_rust_,234,2,0,10625,0.9915254237288136,1.0,0.9957446808510638
Corn_(maize)___Northern_Leaf_Blight,177,9,6,10669,0.9516129032258065,0.9672131147540983,0.959349593495935
Corn_(maize)___healthy,237,0,0,10624,1.0,1.0,1.0
Grape___Black_rot,240,1,1,10619,0.995850622406639,0.995850622406639,0.995850622406639
Grape___Esca_(Black_Measles),307,0,1,10553,1.0,0.9967532467532467,0.9983739837398374
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),231,0,0,10630,1.0,1.0,1.0
Grape___healthy,83,1,0,10777,0.9880952380952381,1.0,0.9940119760479043
Orange___Haunglongbing_(Citrus_greening),1058,0,0,9803,1.0,1.0,1.0
Peach___Bacterial_spot,422,1,1,10437,0.9976359338061466,0.9976359338061466,0.9976359338061466
Peach___healthy,72,0,0,10789,1.0,1.0,1.0
"Pepper,_bell___Bacterial_spot",176,1,0,10684,0.9943502824858758,1.0,0.9971671388101983
"Pepper,_bell___healthy",290,0,2,10569,1.0,0.9931506849315068,0.9965635738831615
Potato___Early_blight,216,0,0,10645,1.0,1.0,1.0
Potato___Late_blight,212,5,1,10643,0.9769585253456221,0.9953051643192489,0.986046511627907
Potato___healthy,31,0,0,10830,1.0,1.0,1.0
Raspberry___healthy,72,1,0,10788,0.9863013698630136,1.0,0.993103448275862
Soybean___healthy,1036,3,1,9821,0.9971126082771896,0.9990356798457087,0.998073217726397
Squash___Powdery_mildew,379,0,1,10481,1.0,0.9973684210526316,0.9986824769433464
Strawberry___Leaf_scorch,210,0,0,10651,1.0,1.0,1.0
Strawberry___healthy,99,1,0,10761,0.99,1.0,0.9949748743718593
Tomato___Bacterial_spot,425,5,3,10428,0.9883720930232558,0.9929906542056075,0.9906759906759907
Tomato___Early_blight,171,4,10,10676,0.9771428571428571,0.9447513812154696,0.9606741573033707
Tomato___Late_blight,392,5,13,10451,0.9874055415617129,0.9679012345679012,0.9775561097256857
Tomato___Leaf_Mold,177,0,3,10681,1.0,0.9833333333333333,0.9915966386554621
Tomato___Septoria_leaf_spot,365,3,0,10493,0.9918478260869565,1.0,0.9959072305593452
Tomato___Spider_mites Two-spotted_spider_mite,332,5,3,10521,0.9851632047477745,0.991044776119403,0.9880952380952381
Tomato___Target_Spot,280,7,4,10570,0.975609756097561,0.9859154929577465,0.9807355516637478
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1060,3,1,9797,0.9971777986829727,0.9990574929311969,0.9981167608286252
Tomato___Tomato_mosaic_virus,70,0,0,10791,1.0,1.0,1.0
Tomato___healthy,315,1,1,10544,0.9968354430379747,0.9968354430379747,0.9968354430379747
